time_sec,px,py,pz,qw,qx,qy,qz
1757060405.8023148,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8028405,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.803567,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8048546,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8055744,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8066812,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.807633,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.80875,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8097775,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8107,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.811628,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.812688,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8136237,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8146453,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.815653,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8165953,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8176026,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.818637,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8196058,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8206344,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.821614,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8226068,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8236766,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.824859,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.825733,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.826718,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.827723,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8287036,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.829689,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8307426,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.831672,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.832631,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8336277,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8346424,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8356476,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
1757060405.8366032,-0.01791260549034876,0.05941536379662723,-0.552875673180396,0.9812077450222576,-0.013846769622770441,0.19211916971928392,-0.011395293138979396
